promotion_id,target_country,content_language,promotion_effective_dates,redemption_channel,promotion_display_dates,title,long_title,offer_type,product_applicability,shipping_option_price
GT_KBEAUTY_DISCOUNT_2026,BD,en,"2026-01-01T00:00:00+06:00/2027-12-31T23:59:59+06:00",ONLINE,"2026-01-01T00:00:00+06:00/2027-12-31T23:59:59+06:00","Up to 28% Off Authentic Korean Cosmetics","Get up to 28% instant discount on authentic Korean cosmetics including DABO, COSRX, AXIS-Y, Anua and Beauty of Joseon",NO_CODE,ALL_PRODUCTS,
GT_FREE_SHIPPING_COMBO,BD,en,"2026-01-01T00:00:00+06:00/2027-12-31T23:59:59+06:00",ONLINE,"2026-01-01T00:00:00+06:00/2027-12-31T23:59:59+06:00","Free Home Delivery Nationwide on Combo Routines","Enjoy 100% free cash on delivery shipping across all 64 districts in Bangladesh on AI Glow Routine Combos",NO_CODE,ALL_PRODUCTS,0.00 BDT
GT_DABO_SPECIAL_OFFER,BD,en,"2026-01-01T00:00:00+06:00/2027-12-31T23:59:59+06:00",ONLINE,"2026-01-01T00:00:00+06:00/2027-12-31T23:59:59+06:00","Special Discount on DABO Korean Tone-Up & Black Snail Cream","Special promo offer on 100% original DABO Black Snail and Glutathione Brightening Tone-Up Creams",NO_CODE,ALL_PRODUCTS,
